state,state_abbr,measure,reference,value,rank,units
New Mexico,NM,economic impact,total,391,41,million dollars
New Mexico,NM,economic impact,per-capita,255.62,41,million dollars
New Mexico,NM,production,total,144530,32,barrels
New Mexico,NM,production,per-capita,2.9,19,gallons
New York,NY,craft breweries,total,423,3,total
New York,NY,craft breweries,per-capita,2.9,31,total
New York,NY,economic impact,total,4863,4,million dollars
New York,NY,economic impact,per-capita,330.28,27,million dollars
New York,NY,production,total,1347435,5,barrels
New York,NY,production,per-capita,2.8,20,gallons
North Carolina,NC,craft breweries,total,333,8,total
North Carolina,NC,craft breweries,per-capita,4.3,18,total
North Carolina,NC,economic impact,total,2805,9,million dollars
North Carolina,NC,economic impact,per-capita,366.38,20,million dollars
North Carolina,NC,production,total,1296320,7,barrels
North Carolina,NC,production,per-capita,5.2,10,gallons
North Dakota,ND,craft breweries,total,22,49,total
North Dakota,ND,craft breweries,per-capita,4,21,total
North Dakota,ND,economic impact,total,267,47,million dollars
North Dakota,ND,economic impact,per-capita,487.05,11,million dollars
North Dakota,ND,production,total,21225,50,barrels
North Dakota,ND,production,per-capita,1.2,39,gallons
Ohio,OH,craft breweries,total,311,10,total
Ohio,OH,craft breweries,per-capita,3.6,26,total
Ohio,OH,economic impact,total,3401,6,million dollars
Ohio,OH,economic impact,per-capita,393.86,18,million dollars
Ohio,OH,production,total,1334762,6,barrels
Ohio,OH,production,per-capita,4.8,12,gallons
Oklahoma,OK,craft breweries,total,55,35,total
Oklahoma,OK,craft breweries,per-capita,1.9,44,total
Oklahoma,OK,economic impact,total,699,30,million dollars
Oklahoma,OK,economic impact,per-capita,247.26999999999998,42,million dollars
Oklahoma,OK,production,total,79747,41,barrels
Oklahoma,OK,production,per-capita,0.9,45,gallons
Oregon,OR,craft breweries,total,311,10,total
Oregon,OR,craft breweries,per-capita,9.7,6,total
Oregon,OR,economic impact,total,2201,13,million dollars
Oregon,OR,economic impact,per-capita,694.72,3,million dollars
Oregon,OR,production,total,1012854,9,barrels
Oregon,OR,production,per-capita,9.8,7,gallons
Pennsylvania,PA,craft breweries,total,401,5,total
Pennsylvania,PA,craft breweries,per-capita,4.1,19,total
Pennsylvania,PA,economic impact,total,5556,2,million dollars
Pennsylvania,PA,economic impact,per-capita,576.05,8,million dollars
Pennsylvania,PA,production,total,3606444,2,barrels
Pennsylvania,PA,production,per-capita,11.6,4,gallons
Rhode Island,RI,craft breweries,total,33,44,total
Rhode Island,RI,craft breweries,per-capita,4.1,20,total
Rhode Island,RI,economic impact,total,247,48,million dollars
Rhode Island,RI,economic impact,per-capita,307.8,29,million dollars
Rhode Island,RI,production,total,65140,42,barrels
Rhode Island,RI,production,per-capita,2.5,25,gallons
South Carolina,SC,craft breweries,total,88,30,total
South Carolina,SC,craft breweries,per-capita,2.3,36,total
South Carolina,SC,economic impact,total,905,26,million dollars
South Carolina,SC,economic impact,per-capita,239.76999999999998,43,million dollars
South Carolina,SC,production,total,109987,36,barrels
South Carolina,SC,production,per-capita,0.9,44,gallons
South Dakota,SD,craft breweries,total,33,44,total
South Dakota,SD,craft breweries,per-capita,5.2,13,total
South Dakota,SD,economic impact,total,245,49,million dollars
South Dakota,SD,economic impact,per-capita,388.98999999999995,19,million dollars
South Dakota,SD,production,total,20843,51,barrels
South Dakota,SD,production,per-capita,1,43,gallons
Tennessee,TN,craft breweries,total,108,24,total
Tennessee,TN,craft breweries,per-capita,2.1,38,total
Tennessee,TN,economic impact,total,1384,20,million dollars
Tennessee,TN,economic impact,per-capita,276.11,35,million dollars
Tennessee,TN,production,total,194669,28,barrels
Tennessee,TN,production,per-capita,1.2,40,gallons
Texas,TX,craft breweries,total,341,7,total
Texas,TX,craft breweries,per-capita,1.7,47,total
Texas,TX,economic impact,total,5424,3,million dollars
Texas,TX,economic impact,per-capita,269.65000000000003,37,million dollars
Texas,TX,production,total,1180393,8,barrels
Texas,TX,production,per-capita,1.8,33,gallons
Utah,UT,craft breweries,total,42,40,total
Utah,UT,craft breweries,per-capita,2,42,total
Utah,UT,economic impact,total,477,38,million dollars
Utah,UT,economic impact,per-capita,228.62,48,million dollars
Utah,UT,production,total,174323,30,barrels
Utah,UT,production,per-capita,2.5,24,gallons
Vermont,VT,craft breweries,total,68,33,total
Vermont,VT,craft breweries,per-capita,14.2,1,total
Vermont,VT,economic impact,total,366,42,million dollars
Vermont,VT,economic impact,per-capita,765.71,2,million dollars
Vermont,VT,production,total,345590,19,barrels
Vermont,VT,production,per-capita,22.3,1,gallons
Virginia,VA,craft breweries,total,290,12,total
Virginia,VA,craft breweries,per-capita,4.6,16,total
Virginia,VA,economic impact,total,1866,17,million dollars
Virginia,VA,economic impact,per-capita,295.9,30,million dollars
Virginia,VA,production,total,344972,20,barrels
Virginia,VA,production,per-capita,1.7,34,gallons
Washington,WA,craft breweries,total,423,3,total
Washington,WA,craft breweries,per-capita,7.5,9,total
Washington,WA,economic impact,total,2032,16,million dollars
Washington,WA,economic impact,per-capita,362.47999999999996,21,million dollars
Washington,WA,production,total,583956,14,barrels
Washington,WA,production,per-capita,3.2,18,gallons
West Virginia,WV,craft breweries,total,28,46,total
West Virginia,WV,craft breweries,per-capita,2,40,total
West Virginia,WV,economic impact,total,289,46,million dollars
West Virginia,WV,economic impact,per-capita,210.33,50,million dollars
West Virginia,WV,production,total,22964,49,barrels
West Virginia,WV,production,per-capita,0.5,50,gallons
Wisconsin,WI,craft breweries,total,205,14,total
Wisconsin,WI,craft breweries,per-capita,4.7,15,total
Wisconsin,WI,economic impact,total,2379,11,million dollars
Wisconsin,WI,economic impact,per-capita,552.99,9,million dollars
Wisconsin,WI,production,total,883648,11,barrels
Wisconsin,WI,production,per-capita,6.3,9,gallons
Wyoming,WY,craft breweries,total,41,42,total
Wyoming,WY,craft breweries,per-capita,9.8,5,total
Wyoming,WY,economic impact,total,195,51,million dollars
Wyoming,WY,economic impact,per-capita,462.54,14,million dollars
Wyoming,WY,production,total,56403,43,barrels
Wyoming,WY,production,per-capita,4.2,13,gallons
