Season,Team,AvAge,GP,W,L,OL,PTS,PTS_Pct,GF,GA,SOW,SOL,SRS,SOS,GF_per_G,GA_per_G,PP,PPO,PP_Pct,PPA,PPOA,PK_Pct,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV_Pct,SO
2019-2020,Nashville Predators*,29.1,69,35,26,8,78,0.565,212,214,3,3,-0.03,-0.01,3.07,3.1,39,226,17.26,51,213,76.06,6,8,9,9.5,2287,9.3,2157,0.901,7
2019-2020,Vancouver Canucks*,27.5,69,36,27,6,78,0.565,224,214,4,3,0.13,-0.03,3.25,3.1,57,236,24.15,42,215,80.47,5,4,9.3,9.5,2153,10.4,2297,0.907,2
2019-2020,Florida Panthers*,28.2,69,35,26,8,78,0.565,228,224,3,4,0.05,0.01,3.3,3.25,45,211,21.33,40,186,78.49,4,5,7.2,8.6,2253,10.1,2227,0.899,2
2019-2020,Minnesota Wild*,29.4,69,35,27,7,77,0.558,218,217,2,3,0.01,0.01,3.16,3.14,46,216,21.3,47,206,77.18,3,6,8.1,8.5,2077,10.5,2115,0.897,6
2019-2020,Arizona Coyotes*,28.2,70,33,29,8,74,0.529,190,183,5,4,0.11,0,2.71,2.61,41,214,19.16,34,197,82.74,5,5,6.5,7.4,2220,8.6,2270,0.919,4
2019-2020,Chicago Blackhawks*,28.1,70,32,30,8,72,0.514,208,214,4,4,-0.05,0.04,2.97,3.06,33,217,15.21,37,207,82.13,6,8,7.8,8.2,2227,9.3,2458,0.913,1
2019-2020,Montreal Canadiens*,28.4,71,31,31,9,71,0.5,208,220,4,1,-0.12,0.01,2.93,3.1,33,186,17.74,45,211,78.67,6,5,7.7,6.7,2422,8.6,2208,0.9,4
2019-2020,Buffalo Sabres,26.5,69,30,31,8,68,0.493,193,215,2,2,-0.34,-0.03,2.8,3.12,37,196,18.88,47,185,74.59,5,11,6.9,6.9,2021,9.5,2148,0.9,3
2019-2020,New Jersey Devils,26.9,69,28,29,12,68,0.493,185,224,4,6,-0.57,0.02,2.68,3.25,42,234,17.95,39,221,82.35,9,10,9.7,9.2,2117,8.7,2256,0.901,4
2019-2020,Anaheim Ducks,27.8,71,29,33,9,67,0.472,182,225,5,1,-0.53,0.02,2.56,3.17,27,184,14.67,49,213,77,10,5,10.2,8.5,2106,8.6,2282,0.901,1
2019-2020,Los Angeles Kings,28.6,70,29,35,6,64,0.457,177,209,1,3,-0.48,0.01,2.53,2.99,33,193,17.1,43,190,77.37,5,1,6.8,7.5,2325,7.6,2079,0.899,1
2019-2020,San Jose Sharks,29.5,70,29,36,5,63,0.45,180,225,2,1,-0.62,0.01,2.57,3.21,33,189,17.46,32,224,85.71,7,6,10.3,9.4,2101,8.6,2140,0.895,2
2019-2020,Ottawa Senators,27.7,71,25,34,12,62,0.437,190,238,1,5,-0.76,-0.02,2.68,3.35,30,211,14.22,55,230,76.09,15,6,9.6,9.2,2174,8.7,2384,0.9,0
2019-2020,Detroit Red Wings,28.6,71,17,49,5,39,0.275,142,265,3,2,-1.7,0.02,2,3.73,32,215,14.88,58,226,74.34,4,13,8.4,8.1,1924,7.4,2329,0.886,1
